xp,yp,gpz,vor,up,vp,sp,active,chi
5.88,-3.36,0,0,0.992063,0.0216042,0.32,0,0
6.2,-3.36,0,0,0.991538,0.0193246,0.32,0,0
6.52,-3.36,0,0,0.991257,0.017289,0.32,0,0
6.84,-3.36,0,0,0.991157,0.0154819,0.32,0,0
5.88,-3.04,0,0,0.989497,0.0221362,0.32,0,0
6.2,-3.04,0,0,0.989264,0.0195806,0.32,0,0
6.52,-3.04,0,0,0.989253,0.0173463,0.32,0,0
6.84,-3.04,0,0,0.989397,0.0153984,0.32,0,0
5.88,-2.72,0,0,0.986618,0.0223163,0.32,0,0
6.2,-2.72,0,0,0.98677,0.0195145,0.32,0,0
6.52,-2.72,0,0,0.987099,0.0171172,0.32,0,0
6.84,-2.72,0,0,0.987535,0.0150643,0.32,0,0
2.04,-4.96,0,0,1.02754,0.0125742,0.32,0,0
2.36,-4.96,0,0,1.02518,0.0152692,0.32,0,0
2.68,-4.96,0,0,1.02253,0.0174282,0.32,0,0
3,-4.96,0,0,1.0197,0.0190333,0.32,0,0
2.04,-4.64,0,0,1.03071,0.0149922,0.32,0,0
2.36,-4.64,0,0,1.02778,0.0180904,0.32,0,0
2.68,-4.64,0,0,1.02449,0.0204943,0.32,0,0
3,-4.64,0,0,1.02105,0.0221918,0.32,0,0
2.04,-4.32,0,0,1.03442,0.0180453,0.32,0,0
2.36,-4.32,0,0,1.03071,0.0216159,0.32,0,0
2.68,-4.32,0,0,1.02662,0.0242748,0.32,0,0
3,-4.32,0,0,1.02239,0.0260263,0.32,0,0
2.04,-4,0,0,1.03877,0.0219485,0.32,0,0
2.36,-4,0,0,1.03403,0.0260666,0.32,0,0
2.68,-4,0,0,1.02888,0.0289738,0.32,0,0
3,-4,0,0,1.02365,0.0307064,0.32,0,0
-1.8,-4.96,0,0,1.01423,-0.0206137,0.32,0,0
-1.48,-4.96,0,0,1.01704,-0.0200064,0.32,0,0
-1.16,-4.96,0,0,1.0199,-0.0189037,0.32,0,0
-0.84,-4.96,0,0,1.02271,-0.0172636,0.32,0,0
-1.8,-4.64,0,0,1.01453,-0.0235914,0.32,0,0
-1.48,-4.64,0,0,1.01784,-0.0231229,0.32,0,0
-1.16,-4.64,0,0,1.02129,-0.0220526,0.32,0,0
-0.84,-4.64,0,0,1.02472,-0.0203114,0.32,0,0
-1.8,-4.32,0,0,1.01459,-0.027081,0.32,0,0
-1.48,-4.32,0,0,1.01852,-0.0268449,0.32,0,0
-1.16,-4.32,0,0,1.02268,-0.0258785,0.32,0,0
-0.84,-4.32,0,0,1.02689,-0.0240713,0.32,0,0
-1.8,-4,0,0,1.01431,-0.0311675,0.32,0,0
-1.48,-4,0,0,1.01896,-0.0313013,0.32,0,0
-1.16,-4,0,0,1.024,-0.0305526,0.32,0,0
-0.84,-4,0,0,1.02921,-0.028748,0.32,0,0
-3.08,-4.96,0,0,1.0049,-0.0194331,0.32,0,0
-2.76,-4.96,0,0,1.00687,-0.0201249,0.32,0,0
-2.44,-4.96,0,0,1.0091,-0.0206,0.32,0,0
-2.12,-4.96,0,0,1.01157,-0.0207877,0.32,0,0
-3.08,-4.64,0,0,1.00399,-0.0213513,0.32,0,0
-2.76,-4.64,0,0,1.00614,-0.0223345,0.32,0,0
-2.44,-4.64,0,0,1.00862,-0.0230974,0.32,0,0
-2.12,-4.64,0,0,1.01143,-0.0235494,0.32,0,0
-3.08,-4.32,0,0,1.00275,-0.0234092,0.32,0,0
-2.76,-4.32,0,0,1.00507,-0.0247623,0.32,0,0
-2.44,-4.32,0,0,1.00782,-0.0259042,0.32,0,0
-2.12,-4.32,0,0,1.011,-0.0267209,0.32,0,0
-3.08,-4,0,0,1.00111,-0.0255813,0.32,0,0
-2.76,-4,0,0,1.00358,-0.0273976,0.32,0,0
-2.44,-4,0,0,1.00658,-0.0290334,0.32,0,0
-2.12,-4,0,0,1.01016,-0.0303472,0.32,0,0
6.44,-1.2,-1.69222e-06,-6.61022e-05,0.976245,0.0112398,0.16,1,0
6.6,-1.2,0,0,0.977387,0.0103438,0.16,0,0
6.76,-1.2,0,0,0.978458,0.00954073,0.16,0,0
6.92,-1.2,0,0,0.979463,0.00881603,0.16,0,0
